,Unnamed: 0,pitchIdx,inning,frame,ab,abIdx,batter,stand,speed,pitchtype,px,pz,szTop,szBottom,des,x_call,y_call,comp_call,acc
158,510,510,5,bottom,41,2,Aaron Judge,R,86.9,changeup,-1.58,2.73,4.15,1.99,Ball,Out,Strike,Ball,1
159,511,511,5,bottom,41,3,Aaron Judge,R,85.7,slider,-0.05,3.45,4.16,2.09,Ball,Strike,Strike,Called Strike,0
160,512,512,5,bottom,41,4,Aaron Judge,R,83.8,slider,0.11,2.17,4.18,1.96,Called Strike,Strike,Strike,Called Strike,1
165,517,517,5,bottom,42,1,Aaron Hicks,L,93.9,4-seam fb,0.58,1.52,3.53,1.7,Ball,Strike,Low,Ball,1
167,519,519,5,bottom,42,3,Aaron Hicks,L,81.1,curveball,-0.44,2.72,3.56,1.57,Called Strike,Strike,Strike,Called Strike,1
169,521,521,5,bottom,42,5,Aaron Hicks,L,83.0,curveball,0.15,1.16,3.53,1.66,Ball,Strike,Low,Ball,1
170,522,522,5,bottom,42,6,Aaron Hicks,L,87.3,slider,0.78,1.46,3.5,1.6,Ball,Strike,Low,Ball,1
172,524,524,5,bottom,43,2,Gleyber Torres,R,82.4,curveball,-0.99,1.63,3.35,1.52,Ball,Out,Strike,Ball,1
180,532,532,5,bottom,44,4,Edwin Encarnacion,R,82.3,curveball,-0.73,2.6,3.22,1.49,Ball,Strike,Strike,Called Strike,0
183,535,535,6,top,45,1,Alex Bregman,R,89.3,4-seam fb,0.84,3.7,3.35,1.66,Ball,In,High,Ball,1
184,536,536,6,top,45,2,Alex Bregman,R,90.8,4-seam fb,-0.05,4.31,3.44,1.6,Ball,Strike,High,Ball,1
188,540,540,6,top,47,1,Yordan Alvarez,L,95.6,4-seam fb,-1.31,4.37,3.47,1.57,Ball,Out,High,Ball,1
189,541,541,6,top,47,2,Yordan Alvarez,L,96.1,4-seam fb,0.47,2.79,3.56,1.66,Called Strike,Strike,Strike,Called Strike,1
193,545,545,6,top,49,1,Robinson Chirinos,R,96.7,4-seam fb,1.2,2.93,3.32,1.69,Ball,In,Strike,Ball,1
198,550,550,6,top,49,6,Robinson Chirinos,R,87.4,slider,1.03,1.25,3.29,1.54,Ball,In,Low,Ball,1
199,551,551,6,top,49,7,Robinson Chirinos,R,87.4,slider,1.82,1.5,3.17,1.51,Ball,In,Low,Ball,1
202,554,554,6,top,50,2,Josh Reddick,L,96.9,4-seam fb,0.9,3.39,3.29,1.52,Ball,In,High,Ball,1
